ID,Source,Syllabary,Transliteration,English,Story,Chapter,Line,Author,Speaker,Locked,Source_ID,Tone
11,ced,ᏦᎢ ᎢᏳᏩᎩᏗ ᎠᏓᏙᎵᏍᏗᏍᎪ ᏏᎦ.,joi iyuwakdi adadolisdisgo siga.,*He prays* three times a day.,,,,,,False,14.1,jo’i iyúwa̋:kdi à:da:dǒ:lî:sdǐ:sgo si̋:ga.
12,ced,ᎠᏂᏓᎨ ᏚᏯ ᎠᏂᏤ ᏚᏩᏒ ᏗᏓᎾᏅᎢ.,anidage tuya anije duhwasv didananvi.,She bought *tender* green beans at the store.,,,,,,False,15.1,aní:dage̋: tǔ:ya ani:je̋: dù:hwasv́ di:dá:nanv̋:’i.
13,ced,ᎠᏓᎨ ᎠᏲᏟ ᎤᏅᏗᏊ ᎢᎦ ᎠᏗᏔᏍᎪᎢ.,adage ayohli unvdigwu iga aditasgoi.,*A very young* child drinks only milk.,,,,,,False,15.1,ádage̋: ayő:hli u:nv̌:digwu i:ga̋: à:di:tasgó:’i.
14,ced,ᎠᏓᎨᏳᏗ ᎤᎵᏍᎨᏓ.,adageyhdi ulsgeda.,*Love* is important.,,,,,,False,16.1,ada:geyhdi u:lsge̋:da.
15,ced,ᎢᎦᏓ ᏗᎩᏍᏗ ᎠᎾᏓᎯᎯ ᏥᏈᏍᏗ ᏱᏓᎩᏌ.,igada dikisdi anadahihi tsgwisdi yidakisa.,Some pills are *killers* if too many are swallowed.,,,,,,False,17.1,i:gá:da di̋:kisdi anada̋:hihi tsgwi̋:sdi yidákisa.
16,ced,ᎢᏤ ᎠᏓᏝᏁᏌᎵᏗ ᎤᏅᏁᎸ ᎤᏍᏓᏴᎲᏍᎩ.,ije adahlanesalhdi unvnelv usdayvhvsgi.,He gave his wife a new *purse.*,,,,,,False,18.1,ije̋: ada:hlane̋:salhdi ù:nv́:ne:lv́ u:sda:yv̋:hvsgi.
17,ced,ᏓᏂᏍᏓᏲᎯᎲ ᎾᎥ ᏱᎩ ᏗᏓᏁᏗ ᎠᎾᏓᎾᏁᏒᎲᏍᎪ ᏴᏫ.,danisdayohihv nav yigi didahnehdi anadananesvhvsgo yvwi.,When it’s close to Christmas‚ people shop for *gifts.*,,,,,,False,19.1,dà:ni:sdayo:hihv̋: na’v̋: yi̋gi di:da̋:hnehdi à:nada:nané:svhvsgó: yv:wi.
18,ced,ᎤᏓᏃᏰᏗ ᎤᏚᎵ ᎠᏎᏃ Ꮭ ᎠᏓᏃᏲ ᏳᏩᏯ.,utanoyehdi uduli asehno hla atanoyo yuwaya.,*She* wants *to fan* herself‚ but she has no fan.,,,,,,False,20.1,u:tano:yé:hdi̋ ù:du:lí a:sé:hnó: hla atano:yó yuwá:ya.
19,ced,ᎤᏗᏞᎦ. ᎱᏓᎸᎥᎦ ᎠᏓᏃᏲ.,udihlehga hudalvvga atanoyo,It’s hot. Plug in the *fan.*,,,,,,False,21.1,ù:di:hlehga hu:dalv́’v̀:ga atano:yó
20,ced,Ꮭ ᎠᏴ ᎠᏇᏅᏒ ᏱᎩ ᎠᎭᏂ. ᎦᏓᏩᏛᎯᏙᎭᏊ.,hla aya agwenvsv yigi ahani gadawahtvhidohagwu,This isn’t my home. *I’m just visiting.*,,,,,,False,22.1,hla aya à:gwe:nv́:sv̋ yigi áhani gadà:wahtv:hi:dô:hagwu
21,ced,ᎤᏍᏆᏓ ᎪᏪᎵ ᏕᎪᏪᎵᏍᎬ‚ ᎤᏓᏯᏍᏔᏅᎢ.,usgwada gohweli degohwelisgv udahyastanvi,When he finished writing letters‚ *he stretched.*,,,,,,False,23.1,ù:sgwá’da go:hwe:li de:gó:hwě:lî:sgv̋: ù:da:hyâ:stanv̌:’i
22,ced,ᎠᏓᏰᏍᎩ ᎤᏢᎬ ᎠᏥᏅᏩᏅᎢ.,adahyesgi udlvgv ajinvwanvi.,He was cured of *cancer.*,,,,,,False,24.1,ada:hye̋:sgi ù:dlv́gv̋ à:jì:nv:wâ:nv̌:’i.
23,ced,ᎤᏃᏍᎩᏒ ᎠᎫᎢᏍᏔᎾ. ᎤᏓᏱᎸᎢ.,unosgisv aguistana udahyilvi,When he was accused of stealing‚ *he denied it.*,,,,,,False,25.1,u:no:sgí:sv̋: à:gu’i̋:stana ù:dahyilv̌:’i
24,ced,ᏥᏯᏓᏱᎭ‚ Ꮭ ᏥᏲᎵᎦ ᏱᎩ.,jidayiha hla jiyoliga yigi.,*I am denying him‚* I just don’t know him.,,,,,,False,25.1,ji:dayíha hla ji:yő:lì:ga yigi.
25,ced,ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ ’ᏞᏍᏗ ᏣᏓᏲᏁᎸᎢ’ ᎠᏗᎭ.,chaneline dikanowadvsdi hlesdi jadahyonelvi adiha.,The eighth commandment says‚ ’Thou shalt *not commit adultery.’*,,,,,,False,26.1,chane:li:ne̋: dikanowadv́:sdi hlè:sdi jada:hyo:ně:lv́:’i à:dǐ:ha.
26,ced,ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ ᎠᏓᏲᏁᏗ.,galvkwdi gohweli asgaga adahyonehdi,The Bible reproves *adultery.*,,,,,,False,27.1,galv̋:kwdi go:hwe:li à:sgâ:ga ada:hyő:nehdi
27,ced,ᏣᏂ ᎣᏍᏗ ᎧᏃᎮᏓ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ ᎠᏓᏲᏁᎯ ᎠᎨᏯ.,jani osdi kanoheda chaneline ayatohlv ajinesdi adahyonehi agehya.,An *adulteress* is mentioned in chapter eight of the book of John.,,,,,,False,28.1,jǎ:ni ő:sdi kano:hě:da chane:li:ne̋: à:yâ:tohlv̋: à:jì:nê:sdí ada:hyo:ne̋:hi agě:hya.
28,ced,ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ ᎤᏓᏣᎦᎵᏗ.,uweti ahnawo ahida geso udajagalhdi,An old cloth is easy *to rip.*,,,,,,False,29.1,uwe̋:ti ahnawó ahi̋:da gè:só u:da:jagalhdi
29,ced,ᎪᎱᏍᏗ ᎤᏍᏗ ᏥᎪᏯ ᎠᏓᏨᎢᏍᎩ ᎤᏩᏨᏴ ᎤᏬᏰᏂ.,gohusdi usdi tsgoya adajvysgi uwajvhya uwoyeni.,Some kind of a *stinging* bug stung him on his hand.,,,,,,False,30.1,go:hű:sdi ű:sdi tsgǒ:ya ada:jv̋:ysgi ù:wa:jv́:hya uwò:ye̋:ni.
30,ced,Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ ᎠᏓᎨᏍᎪᎢ.,hlv uwenvsdi yadvnvisdi adakesgoi,When he’s getting ready to go somewhere‚ *he uses a mirror.*,,,,,,False,31.1,hlv̋: uwe:nv̀:sdi̋ yadv́:nv’isdi̋: à:da:kě:sgó:’i
31,ced,ᎤᏔᎾ ᎠᏓᎨᏗ ᏄᏩᏅᏗ ᏗᏎᎯᏍᏗᎢ.,utana adakehdi nuwanhdi disehisdii.,She has a big *mirror* on the dresser.,,,,,,False,32.1,ű:tana ada:kéhdi̋ nù:wá:nhdi di:sě:hísdi̋:’i.
32,ced,ᎤᎾᎳᏍᎦᎵᏗ ᏳᏟᎢᎶᏝ ᎠᏓᎴᏂᏍᎪ ᎠᎾᎳᏍᎦᎵᏍᎬᎢ.,unalasgalhdi yuhlilohla adalenisgo analasgalisgvi.,When it’s time for them to play ball‚ the ball game *begins.*,,,,,,False,33.1,u:nalà:sgalhdi̋: yu:hlî:lő:hla à:dale:ni:sgó à:nalâ:sgalǐ:sgv̋:’i.
33,ced,ᏥᏈᏍᏓ ᎤᏓᎾᏁᏒᎲᏍᏗ ᎤᏚᎵ ᎠᏎᏃ ᏥᏈᏍᏗ ᏓᎬᏩᎵᏗᏓᎾ.,tsgwisda udananesvhvsdi uduli asehno tsgwisdi dagvwalhdidana.,She wants *to do* a lot of *shopping*‚ but the prices are too high.,,,,,,False,34.1,tsgwi̋:sda u:da:nanè:svhv́sdi̋ ù:du:lí a:sé:hnó tsgwǐ:sdi dà:gv:walhdǐ:dá’na.
34,ced,ᎠᏓᎾᏅ ᏓᎩᎸᏫᏍᏓᏁᎰ ᎪᎩ ᏱᏄᎵᏍᏔᎾ.,adananv dagilvhwisdaneho gogi yinulstana.,I work in a *store* in the summer.,,,,,,False,35.1,à:da:nánv̋: dà:gilv:hwísdà:ne:hó go:gí yinű:lstana.
35,ced,ᎩᏟ ᏓᏑᏫᏍᎬ ᎤᏛᎦᎾ‚ ᎤᏓᎾᏫᏍᏔᏅᎢ.,gihli dasuhwisgv utvgana udanawstanvi,When he heard the dog bark‚ *he ran.*,,,,,,False,36.1,gihli dà:suhwisgv̋: ù:tv̋:gà:na ù:danâ:wstanv̌:’i
36,ced,ᎩᎦᎨ ᎠᏨᏍᏛ ᎠᏓᏁᏟᏴᎾ.,gigage ajvysdi adanedliyvna,The red light just *changed.*,,,,,,False,37.1,gǐ:gáge̋ ajv̋:ysdi à:dane:dlí:yv:nâ
37,ced,ᏚᏯᏪᏣ ᎠᏴᎩ ᎠᎦᏘᏴ‚ ᎤᎾᎵᎢ ᎤᏓᏁᏟᏴᏍᏔᏅᎢ.,duyaweja ahyvki aktiyv unalii udanedliyvstanvi,When he got tired of guarding the prisoner‚ his friend *took his place.*,,,,,,False,38.1,dù:yawe̋:ja ahyv̋:ki à:kti:yv̋: u:na:li̋:’i ù:daně:dlí:yv̀:stanv̌:’i
38,ced,ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ ᏓᎾᏘᏁᎰ ᎠᎾᎳᏍᎦᎵᏍᎩ.,anadanedliyvsdisgi danhtihneho analasgalisgi.,The ball players always have *substitutes.*,,,,,,False,39.1,anadaně:dlí:yv̀:sdi̋:sgi dà:nhtihne:hó: analà:sgali̋:sgi.
39,ced,ᎠᎵᏍᏓᏴᏗ ᎠᏓᏁᏢ ᏚᏁᎸ ᏧᏂᏲᏏᏍᎩ.,alsdayhdi adanehlv duhnelv juniyosisgi.,He gave a *supply* of food to the hungry.,,,,,,False,40.1,álsdà:yhdi à:da:né:hlv̋: dù:hně:lv́ ju:ni:yò:si̋:sgi.
40,ced,ᎤᏃᎴ ᎤᏲᏍᏔᏃᏅ ᎠᏓᏁᎸᎢ.,unole uyostanohnv adanelvi,A tornado destroyed a *building.*,,,,,,False,41.1,u:no:lé ù:yó:stanohnv́ à:da:ně:lv̋:’i
41,ced,ᎠᏓᏅᏙ ᏳᎴᏫᏍᏔᎾ ᎠᏲᎱᏍᎪ ᏴᏫ.,adanhdo yulehwistana ayohusgo yvwi.,When the *heart* stops‚ a person dies.,,,,,,False,42.1,ada:nhdo yu:le̋:hwistana à:yo:hu:sgó yv:wi.
42,ced,ᎦᏙ ᎤᏍᏗ ᎭᏓᏅᏖᎭ?,gado usdi hadanhteha,What are *you thinking about?*,,,,,,False,43.1,gado u:sdi hada:nhtě:ha
43,ced,ᎪᏍᏗᏊ ᎢᏣᏓᏅᏖᏗ ᎢᏨᏁᎭ.,gosdigwu ijadanhtehdi ijvneho.,I’m just giving *you* something *to think about.*,,,,,,False,44.1,gő:sdigwû ì:jada̋:nhtehdî ì:jv̀:neho.
44,ced,ᎪᏍᏗ ᏥᏃᎯᏎᎸ ᎠᏓᏅᏖᎯᎶᎠ.,gohusdi jinohiselv adanhtehiloa,*He’s considering* something I told him.,,,,,,False,45.1,go:hű:sdi jì:no:hise:lv̋ à:da:nhte:hí:lo’â
45,ced,ᏙᏯ ᎾᎥ ᏱᎦᎷᏤᎳ ᎠᏓᏃᏴᏟᏍᏗᏍᎪᎢ.,doya nav yigaluhchela adanohyvhlisdisgoi,When you get close to a beaver‚ *it makes noise.*,,,,,,False,46.1,do:ya na’v̋ yigáluhche̋:la à:dano:hyv:hlisdi:sgó:’i
46,ced,ᎤᏔᎾ ᎢᎾᏓ ᎠᏓᎾᏏᏂ.,utana inada adansini,A big snake *is crawling.*,,,,,,False,47.1,ű:tana i:nada à:dansi:ni
47,ced,ᎠᎦᎷᎦ ᎤᏩᏂᎳ ᏡᎬᎢ ᎤᏓᏄᏖᏲᎸᎢ.,agaluga uwahnila dluhgvi udanuteyolvi,When the twister hit the tree‚ *it twisted.*,,,,,,False,48.1,a:galu:ga uwa̋:hnila dluhgv̋:’i ù:danú:te:yô:lv̌:’i
48,ced,ᏍᎪᎯ ᏧᏕᏘᏴᏓ ᎤᏁᎳᏛᎢ ᏓᎵᏆ. ᎩᎳ ᎤᏚᎸᎲ ᎤᏓᏅᏍᏗᎢ.,sgohi judetiyvda uneladv daligwa kila udulvhv udanvsdiyi ,He lived in Tahlequah for ten years‚ then *he* wanted to *move.*,,,,,,False,49.1,sgǒ:hi ju:de:tiyv̋:da ù:ně:ládv́: daligwa kila ù:du:lv:hv́ u:dá’nv̀:sdi̋:yi 
49,ced,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,sudetiyvda iyudali ije dagwalela adanvsgoi,*He orders* a new car every year.,,,,,,False,50.1,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la à:danv:sgó:’i
50,ced,ᎠᏓᏍᏓᏴᏗ  ᎠᏯᎠ ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.,adasdayhdiayaa ditelido degvdiyea.,She’s in the *kitchen* washing dishes.,,,,,,False,51.1,ada:sdà:yhdi̋à:yá’a di:te:li:dó de:gv́:dǐ:yé’a.
51,ced,Ꮭ ᎠᏎ ᏣᏓᏍᏓᏴᏗ ᏱᎩ‚ ᏝᎮᏃ ᏯᎩᏲᏏᎭ.,hla ase jadasdayhdi yigi hlahehno yagiyosiha.,You don’t have *to cook‚* because I’m not hungry.,,,,,,False,52.1,hla a:sé jada̋:sdà:yhdi yigi hláhe:hnó yagíyò:sǐ:ha.
52,ced,ᎢᎦᏓ ᎠᏂᏣᎳᎩ ᎤᏂᎸᏉᏗ ᎠᏂᏓᏪᎯ ᏧᏂᏃᎮᏗᎢ.,igada anijalagi unilvkwdi anidawehi junihnohehdiyi.,Some Cherokees like to talk about *magicians.*,,,,,,False,53.1,igá:da ani:jalagi u:ni:lv̋:kwdi ani:dá:we̋:hi ju:ni:hno:hehdi̋:yi.
53,ced,ᏙᏳ ᎠᏂᏓᏪᎯ ᎨᏐ ᎢᎦᏓ ᎠᏂᏣᎳᎩ.,doyu anidawehi geso igada anijalagi.,Some Cherokees are very *magical.*,,,,,,False,54.1,do:yű: ani:dá:wé:hi gè:só: i:gá:da ani:jalagi.
54,ced,ᎠᏥᎳ ᎪᏢᏗ ᎠᏓᏪᎳᎩᎠ.,ajila gohlvhdi adawelagia,The match is *burning.*,,,,,,False,55.1,ajǐ:la gő:hlvhdi à:dawě:lági’a
55,ced,ᎠᏓᏪᎳᎩ ᏍᎬ ᏚᎴᎢᏔᏅ ᎦᏐᎯᎢ.,adawelagisgv duleyhtanv gasohii.,The *flame* burned his back.,,,,,,False,56.1,à:dawě:lágì:sgv̋: dù:lé:yhtanv́ ga:sohi̋:’i.
56,ced,ᎠᏓᏪᎳᎩᏍᎩ ᎤᏃᏢᏗ ᏧᎸᏫᏍᏓᏁᎸ ᎡᏙᏓ.,adawelagisgi unohlvhdi julvhwisdanelv edoda.,My dad works in a place where they make *gunpowder.*,,,,,,False,57.1,adawe:lagì:sgi u:no:hlvhdi̋: ju:lv:hwísdà:ně:lv́ e:do:da.
57,ced,ᎭᏓᏪᏐᎸᏍᏓ. ᏙᏔᏍᏔᏰᏎᎦ.,hadawesolvsda dotastayesega.,*Rest.* You’ll get exhausted.,,,,,,False,58.1,hadawè:so:lv̌:sda do:tâ:staye:sê:ga.
58,ced,ᎠᏓᏫ ᏧᏙᎢᏓ ᎠᏍᎦᏯ ᎤᏚᎵ ᏍᏓᏟᏃᎮᏗ.,adawi judoida asgaya uduli sdahlinohehdi.,A man named *Adam* wants to speak to you.,,,,,,False,59.1,ǎ:dáwi ju:dő:’ida asgaya ù:du:li sdahlino:hehdi̋.
59,ced,ᏣᎸᏉᏗᏍ ᏣᏓᏬᏍᏗ?,jalvkwdis jadawosdi,Do *you* like to *swim?*,,,,,,False,60.1,jalv̌:kwdís jadawò:sdi̋
60,ced,ᎤᏪᏴ ᎠᏆᏓᏬᏍᏗ ᎤᎪᏓ ᎠᎩᎸᏉᏓ ᏏᏃ ᎠᏓᏬᏍᏗᎨᏒᎢ.,uweyv agwadawosdi ugoda agilvkwda  sihno adawosdi gesvi.,I like to swim in a creek more than in a *swimming pool.*,,,,,,False,61.1,ù:wé:yv̋: agwadawò:sdi̋: ù:gô:da à:gilv̌:kwda  si:hnó: adawò:sdi̋ gè:sv̋:’i.
61,ced,ᎭᏢ ᏣᎩᏎ Ꮎ ᎤᎵᏑᏫᏓ ᎠᏓᏴᎳᏛᏍᎩ?,hadlv jagise na ulsuhwida adayvlatvsgi,Where did you get the color *television?*,,,,,,False,62.1,ha:dlv̋ jagí:sé ná u:lsű:hwidâ adayv̋:latvsgi
62,ced,ᎢᏤ ᏗᎪᏪᎶᏗ ᎤᏕᎸ ᏗᏕᏠᏆᏍᎩ.,ije digohwelodi udelv didehlohgwasgi.,*He gave* the student a new pencil.,,,,,,False,63.1,ije̋: digo:hwe̋:lò:di ù:dé:lv́ di:de̋:hlohgwà:sgi.
63,ced,ᎠᎯᏓᏍ ᎠᏕᏠᏆᏍᏗ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ?,ahidas adehlohgwasdi jalagi gawonihisdi?,Is it easy *to learn* to speak Cherokee?,,,,,,False,64.1,ahi̋:dás ade:hlohgwà:sdi̋ jalagi gawò:ni̋:hisdi?
64,ced,ᎤᏕᎰᎯᏍᏙᏗ ᎠᏁᏟᏗᎭ.,udehohisdohdi anelhdiha.,She’s trying *to embarrass* him.,,,,,,False,65.1,u:de:hǒ:hísdohdi̋ à:né:lhdiha.
65,ced,ᎠᎨᏳᏣ ᎤᎦᏔᏍᏓᏁᎳ ᎤᏕᎰᏒᎢ.,agehyuja uktasdanela udehosvi,When the girl winked at him‚ *he got embarrassed.*,,,,,,False,66.1,age:hyű:ja ù:ktâ:sdà:ne̋:la ù:de:hǒ:sv́:’i
66,ced,ᎯᏍᎩ ᏳᏩᏂᎸ ᏥᎨᏒ ᎪᎯ ᏑᎾᎴ ᎤᏕᏅᎢ.,hisgi yuwahnilv jigesv kohi sunale udehnvi,*He was born* at five o’clock this morning.,,,,,,False,67.1,hisgi yúwa:hnilv̋: jigè:sv̋: kò:hi suná:le̋: ù:de:hnv̌:’i
67,ced,ᎠᏕᎳ ᎠᎨᏳᏗ ᎨᏒ ᏗᏓᎴᏂ ᎠᏍᎦᏂ.,adela ageyhdi gesv didaleni asgahni.,The love of *money* is the root of evil.,,,,,,False,68.1,adě:la age̋:yhdi gè:sv̋: di:dále:ni asgahni.
68,ced,ᏱᏣᏚᎳᏍ ᎠᏕᎳᏗᏗ ᏗᏣᎸᏫᏍᏓᏁᏗ?,yijadulas adeladihdi dijalvhwisdanhdii?,Would you like to work in a *bank?*,,,,,,False,69.1,yijadu:lás ade:ládi:hdi̋: dijalv:hwísdà:nhdi̋:’i?
69,ced,ᎠᏕᎳᏧᏢ ᎤᏪᏅᏍᏗ ᎤᏚᎵᎭ.,adelajuhlv uwenvsdi uduliha.,She wants to go to *California.*,,,,,,False,70.1,adě:lájǔ:hlv̋: uwe:nv̀:sdi̋ ù:du:lǐ:ha.
70,ced,ᎤᏕᎶᎰᏒ ᎠᏥᎶᏄᎡᏍᎬᎢ.,udelohosv ajilonuesgvi.,*He found out* that he was being cheated.,,,,,,False,71.1,u:de:loho:sv́ à:jilo:nu’e:sgv̋:’i.
71,ced,ᎯᎠ ᎠᎵᏍᏇᏚᏬ ᏍᎪ ᎠᏕᎸ ᏧᎬᏩᏟᏗ.,hia alsgwetuwo sgo adelv jugvwahldi.,The price of this hat is ten *dollars.*,,,,,,False,72.1,hi’a alsgwè:tuwó sgo: ade:lv̋: ju:gv̋:wahldi.
72,ced,ᎠᏆᏕᏘᏗ ᎠᎩᎸᏉᏗ ᏱᎦᏓᏬᎠ.,agwadetdi agilvkwdi yigadawoa.,I like *to dive* when I’m swimming.,,,,,,False,73.1,agwade:tdi̋: agilv:kwdi yigadáwő:’a.
73,ced,ᎠᏓᏁᎸ ᎦᏕᏲᎭ.,adanelv gadeyoha,*I am circling* a building.,,,,,,False,74.1,à:da:ně:lv̋: ga:dé:yoha
74,ced,ᎠᏯᏄᎵ ᎠᎯᎵᏒ ᎢᏳᏍᏗ ᏚᏅᏛ ᎠᏕᏲᎲᎢ.,ayanuli ahilisv iyusdi dunvda adeyohvi,Because he was driving fast‚ he missed a *curve.*,,,,,,False,75.1,a:yanu:li à:hílí:sv̋: iyű:sdi dù:nv̌:da à:dé:yohv̋:’i
75,ced,ᎠᎭᏂ ᏓᏥᏗ ᎯᎠ ᏑᏗ.,ahani dajidi hia suhdi.,*I am going to lay* this fishing pole here.,,,,,,False,76.1,áhanî dají’dî hi’á suhdî.
76,ced,ᏑᏓᎵ ᎢᏳᏩᏂᎸ ᏑᎾᎴ ᎦᏗᏗᏍᎪᎢ.,sudali iyuwahnilv sunale gadidisgoi,*I rise* at 6 a.m.,,,,,,False,77.1,sǔ:dáli iyúwa:hnilv̋ suná:le̋ gadi:dǐ:sgó:’i
77,ced,ᏗᎪᏪᎵ ᎦᏍᎩᎸ ᏚᏝᎥ ᏚᏗᎦᎴᏴ ᏗᎪᏪᎶᏗ ᎤᏯᎳ.,digohweli gasgilv duhlav dudigaleyv digohwelodi uhyala.,*He scattered* the papers on the table when he looked for his pencil.,,,,,,False,78.1,digo:hwe:lî ga:sgilv̋ dù:hlá’v̋ dù:di:galé:yv digo:hwe̋:lò:dî ù:hyála.
78,ced,ᎠᎿᏬ ᎤᎵᎬᎭᎷᏴ ᎤᏗᎦᎴᏲᏨ ᏍᏓᏯ ᎤᏃᎸᎾ.,ahnawo ulgvhaluhyv udigalejojv sdaya unolvna.,Pieces of cloth *scattered* when the wind blew hard.,,,,,,False,79.1,ahnawó: ù:lgv:halû:hyv̋ ù:digalě:jô:jv́ sda̋:ya ù:no:lv̋:na.
79,ced,ᎠᏯᏄᎵ ᎠᏗᏆᎸᏕᏲᎭ ᎦᏆᏛ ᎠᎴᏫᏍᏙᏙᏗᎢ.,ayanuli adigwalvdeyoha gagwatv alehwisdohdohdii.,The wheel is *spinning* too fast to stop.,,,,,,False,80.1,ayanu:lí à:dí:gwalv:dé:yoha gá:gwatv̋: ale:hwisdohdohdi̋:’i.
80,ced,ᎦᏙ ᎤᏍᏗ ᎠᏗᎭ?,gado usdi adiha,What *is he saying?*,,,,,,False,81.1,gado u:sdi à:dǐ:ha
81,ced,ᏅᏃᎯ ᏕᏥᎾᏗᏫᏍᎬ ᎠᎴ ᏓᏆᎴᎳ ᎾᏆᏗᏅᏔᏅᎢ.,nvnohi dejinadiwsgv hale dagwalela nagwadinvtanvi,Crossing the road‚ I was almost *run over* by a car.,,,,,,False,82.1,nv:no:hi̋ de:jínadí:wsgv̋: halé: dagwalé:la nàgwadǐ:nv̂:tanv̌:’i
82,ced,ᏗᎾᏓᏂᏱᏍᎩ ᏚᎪᎭ ᏗᏓᎯᎯ ᎤᏗᏍᎦᏝᏅᎢ.,dinadaniyisgi dugoha didahihi udisgahlanvi,When the killer saw the police *he hid.*,,,,,,False,83.1,di:nada:níyi̋:sgi dù:gő:ha di:da̋:hihi ù:di:sgahlanv́:’i
83,ced,ᎯᏗᏏᏯ ᎦᏍᎩᎶ. Ꮭ ᏳᏜᏅᏓ ᎦᎳᏗᏍᏗ ᏓᏆᎴᎷᎢ.,hidisiya gasgilo hla yudlanvda galadisdi dagwalelui.,*Leave* the chair. There isn’t room to put it in the car.,,,,,,False,84.1,hidì:sǐ:ya ga:sgiló hlá yu:dlánv:da galadì:sdi̋ dagwalé:lű:’i.
84,ced,ᎦᏙ ᎤᏍᏗ ᎠᏗᏔᏍᏗ ᏣᏚᎵ?,gado usdi aditasdi jaduli?,What kind of *drink* do you want?,,,,,,False,85.1,gado ű:sdi adi̋:tasdi jadu:lí?
