merged_id,normalized_key,cn-app-dictionary.csv_syllabary,english,learning-to-use-the-cherokee-verb.csv_syllabary,number,object,person,sources,tense
73c30413ce7136dd,2s|3p|present,,You (singular) are stopping them | You (singular) are stopping those things,ᎦᎯᏯᎴᏫᏍᏙᏗᎭ [You (singular) are stopping them] | ᏕᎭᎴᏫᏍᏙᏗᎭ [You (singular) are stopping those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,1d-ex|3p|present,,We (another and I) are thanking them | We (another and I) are thanking those things,ᎪᏍᏓᎵᎡᎵᏤᎭ [We (another and I) are thanking them] | ᏙᏍᏓᎵᎮᎵᏤᎭ [We (another and I) are thanking those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,1d-in|3p|present,,We (you and I) are thanking them | We (you and I) are thanking those things,ᎨᎾᎵᎡᎵᏤᎭ [We (you and I) are thanking them] | ᏙᏍᏓᎵᎮᎵᏤᎭ [We (you and I) are thanking those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,1p-ex|3p|present,,We (others and I) are thanking them | We (others and I) are thanking those things,ᎪᏣᎵᎡᎵᏤᎭ [We (others and I) are thanking them] | ᏙᎦᎵᎮᎵᏤᎭ [We (others and I) are thanking those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,1p-in|3p|present,,We (others and I) are thanking them | We (others and I) are thanking those things,ᎨᏓᎵᎡᎵᏤᎭ [We (others and I) are thanking them] | ᏕᏓᎵᎮᎵᏤᎭ [We (others and I) are thanking those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,1s|3p|present,,I thank them | I thank those things,ᎦᏥᏯᎵᎡᎵᏤᎭ [I thank them] | ᏕᎦᎵᎡᎵᏤᎭ [I thank those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,2d|3p|present,,You (two) are thanking them | You (two) are thanking those things,ᎨᏍᏓᎵᎮᎵᏤᎭ [You (two) are thanking them] | ᏕᏍᏓᎵᎮᎵᏤᎭ [You (two) are thanking those things],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,2p|3p|present,,You (more than two) are thanking them | You (more than two) are thanking those things,ᎨᏣᎵᎮᎵᏤᎭ [You (more than two) are thanking them] | ᏕᏣᎵᎮᎵᏤᎭ [You (more than two) are thanking those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,2s|3p|present,,You (singular) thank them | You (singular) thank those things,ᎦᎯᏯᎵᎡᎵᏤᎭ [You (singular) thank them] | ᏕᎭᎵᎮᎵᏤᎭ [You (singular) thank those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
4705fcf746893e93,3p|3p|present,,They are thanking them | They are thanking those things,ᏕᎨᏣᎵᎮᎵᏤᎭ [They are thanking them] | ᏓᎾᎵᎮᎵᏤᎭ [They are thanking those things],,3p,3p,learning-to-use-the-cherokee-verb.csv,present
91482298d685adf0,1d-ex|3p|present,,We (another and I) remember them | We (another and I) remember those (things),ᎪᏣᏅᏓᏗᎠ [We (another and I) remember them] | ᏙᏣᏅᏓᏗᎠ [We (another and I) remember those (things)],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
91482298d685adf0,1d-in|3p|present,,We (you and I) remember them | We (you and I) remember those things,ᎨᎾᏅᏓᏗᎠ [We (you and I) remember them] | ᏕᎾᏅᏓᏗᎠ [We (you and I) remember those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
91482298d685adf0,1p-ex|3p|present,,We (others and I) remember them | We (others and I) remember those (things),ᎪᏣᏅᏓᏗᎠ [We (others and I) remember them] | ᏙᏣᏅᏓᏗᎠ [We (others and I) remember those (things)],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
91482298d685adf0,1p-in|3p|present,,We (you and I and another or others) remember them | We (you and I and another or others) remember those (things),ᎨᏓᏅᏓᏗᎠ [We (you and I and another or others) remember them] | ᏕᏓᏅᏓᏗᎠ [We (you and I and another or others) remember those (things)],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
91482298d685adf0,1s|3p|present,,I remember them | I remember those things,ᎦᏥᏯᏅᏓᏗᎠ [I remember them] | ᏕᎦᏅᏓᏗᎠ [I remember those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
91482298d685adf0,2d|3p|present,,You (two) remember them | You (two) remember those (things),ᎨᏍᏓᏅᏓᏗᎠ [You (two) remember them] | ᏕᏍᏓᏅᏓᏗᎠ [You (two) remember those (things)],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
91482298d685adf0,2s|3p|present,,You (singular) remember them | You (singular) remember those (things),ᎦᎯᏯᏅᏓᏗᎠ [You (singular) remember them] | ᏕᎭᏅᏓᏗᎠ [You (singular) remember those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,1d-ex|3p|present,,We (another and I) are helping them | We (another and I) are helping those things,ᎪᏍᏗᏍᏕᎵᎭ [We (another and I) are helping them] | ᏙᏍᏗᏍᏕᎵᎭ [We (another and I) are helping those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,1d-in|3p|present,,We (you and I) are helping them | We (you and I) are helping those things,ᎨᏂᏍᏕᎵᎭ [We (you and I) are helping them] | ᏕᏂᏍᏕᎵᎭ [We (you and I) are helping those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,1p-ex|3p|present,,We (others and I) are helping them | We (others and I) are helping those things,ᎪᏥᏍᏕᎵᎭ [We (others and I) are helping them] | ᏙᏥᏍᏕᎵᎭ [We (others and I) are helping those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,1p-in|3p|present,,We (others and I) are helping them | We (others and I) are helping those things,ᎨᏗᏍᏕᎵᎭ [We (others and I) are helping them] | ᏕᏗᏍᏕᎵᎭ [We (others and I) are helping those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,1s|3p|present,,I am helping them | I am helping those things,ᎦᏥᏍᏕᎵᎭ [I am helping them] | ᏕᏥᏍᏕᎵᎭ [I am helping those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,2d|3p|present,,You (two) are helping them | You (two) are helping those things,ᎦᎯᏍᏕᎵᎭ [You (two) are helping them] | ᏕᏍᏗᏍᏕᎵᎭ [You (two) are helping those things],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,2p|3p|present,,You (more than two) are helping them | You (more than two) are helping those things,ᎨᏥᏍᏕᎵᎭ [You (more than two) are helping them] | ᏕᏥᏍᏕᎵᎭ [You (more than two) are helping those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
231d22d889742b3c,2s|3p|present,,You (singular) are helping them | You (singular) are helping those (things),ᎦᎯᏍᏕᎵᎭ [You (singular) are helping them] | ᏘᏍᏕᎵᎭ [You (singular) are helping those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
1aef1a1e3c14a59b,1d-in|3p|present,,We (you and I) are pointing it out to them | We (you and I) are pointing it out to those things,ᎨᎾᏎᎮᎭ [We (you and I) are pointing it out to them] | ᎢᎾᏎᎮᎭ [We (you and I) are pointing it out to those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
178bfdadcab0df36,3s|none|present,ᎠᏎᏃ [but] | ᎠᏎᏅ [but],but,,,none,3s,cn-app-dictionary.csv,present
c2ffaf7ab0a1a533,3s|3s|present,"ᎠᏍᎦᏟᎦ [he/she is biting him/her, he/she is biting it]","he/she is biting him/her, he/she is biting it | S/he bites it",ᎠᏍᎦᎶᎦ [S/he bites it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,present
c2ffaf7ab0a1a533,3s|3s|habitual,"ᎠᏍᎦᏟᎪᎢ [he/she bites him/her, he/she bites it]","he/she bites him/her, he/she bites it | S/he bites it (habitually)",ᎠᏍᎦᎶᎪᎢ [S/he bites it (habitually)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,habitual
c2ffaf7ab0a1a533,3s|3s|infinitive,"ᎤᏍᎦᎵᏍᏗ [to bite him/her, to bite something]","to bite him/her, to bite something | For him/her to bite it",ᎤᏍᎦᎶᏍᏗ [For him/her to bite it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,infinitive
c2ffaf7ab0a1a533,1d-in|3p|present,,We (you and I) and biting them | We (you and I) are biting those things,ᎨᏂᏍᎦᎶᎦ [We (you and I) and biting them] | ᏕᏂᏍᎦᎶᎦ [We (you and I) are biting those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
c2ffaf7ab0a1a533,1p-in|3p|present,,We (you and I and another or others) are biting them | We (you and I and another or others) are biting those (things),ᎨᏗᏍᎦᎶᎦ [We (you and I and another or others) are biting them] | ᏕᏗᏍᎦᎶᎦ [We (you and I and another or others) are biting those (things)],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
c2ffaf7ab0a1a533,1s|3p|present,,I am biting them | I am biting those things,ᎦᏥᏍᎦᎶᎦ [I am biting them] | ᏕᏥᏍᎦᎶᎦ [I am biting those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
54dc947eeb4a6c6f,1s|3s|present,"ᏥᏯᏙᎵᏍᎦ [I’m borrowing him/her, I’m borrowing it] | ᎦᏙᎵᏍᎦ [I’m borrowing it]","I’m borrowing him/her, I’m borrowing it | I’m borrowing it",,,3s,1s,cn-app-dictionary.csv,present
54dc947eeb4a6c6f,2s|3s|imperative,ᎯᏯᏙᎳ [borrow him/her!] | ᎭᏙᎳ [borrow it!],borrow him/her! | borrow it!,,,3s,2s,cn-app-dictionary.csv,imperative
e30306bcea2fd4da,1d-ex|3p|present,,We (another and I) hear them | We (another and I) hear those (things),ᎪᏍᏓᏛᎩᎠ [We (another and I) hear them] | ᏙᏣᏛᎩᎠ [We (another and I) hear those (things)],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
e30306bcea2fd4da,1d-in|3p|present,,We (you and I) hear them | We (you and I) hear those things,ᎨᎾᏛᎩᎠ [We (you and I) hear them] | ᏕᎾᏛᎩᎠ [We (you and I) hear those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
e30306bcea2fd4da,1p-ex|3p|present,,We (others and I) hear them | We (others and I) hear those (things),ᎪᏣᏛᎩᎠ [We (others and I) hear them] | ᏙᏣᏛᎩᎠ [We (others and I) hear those (things)],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
e30306bcea2fd4da,1p-in|3p|present,,We (you and I and another or others) hear them | We (you and I and another or others) hear those (things),ᎨᏓᏛᎩᎠ [We (you and I and another or others) hear them] | ᏕᏓᏛᎩᎠ [We (you and I and another or others) hear those (things)],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
e30306bcea2fd4da,1s|3p|present,,I hear them | I hear those things,ᎦᏥᏯᏛᎩᎠ [I hear them] | ᏕᎦᏛᎩᎠ [I hear those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
e30306bcea2fd4da,2d|3p|present,,You (two) hear them | You (two) hear those (things),ᎨᏍᏓᏛᎩᎠ [You (two) hear them] | ᏕᏍᏓᏛᎩᎠ [You (two) hear those (things)],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
e30306bcea2fd4da,2p|3p|present,,You (more than two) hear them | You (more than two) hear those things,ᎨᏣᏛᎩᎠ [You (more than two) hear them] | ᏕᏣᏛᎩᎠ [You (more than two) hear those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
e30306bcea2fd4da,2s|3p|present,,You (singular) hear them | You (singular) hear those (things),ᎦᎯᏯᏛᎩᎠ [You (singular) hear them] | ᏕᎭᏛᎩᎠ [You (singular) hear those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
420d7bd70c25fd3c,noun|plural|,ᏗᏂᏲᏟ [children] | ᏗᏲᏟ [children],children,,plural,,,cn-app-dictionary.csv,
1c5e0c4e47639910,1s|none|present,"ᏥᏲᎤᏍᎦ [I’m dying, refers to a human] | ᎤᏲᎱᏒᎢ [he/she died, refers to a human]","I’m dying, refers to a human | he/she died, refers to a human | I am dying",,,none,1s,cn-app-dictionary.csv | kirk-book-data.csv,present
664da63572351d41,1s|3s|present,ᏥᏲᎵᎭ [I’m breaking it up] | ᏥᏲᎢᏍᏗᎭ [I’m breaking it up],I’m breaking it up,,,3s,1s,cn-app-dictionary.csv,present
285865ef30eb249a,noun|plural|,"ᏴᏫ [person, people] | ᎠᏂᏴᏫ [people]","person, people | people",,plural,,,cn-app-dictionary.csv,
a29b23e852f2c159,variant||,ᎠᏲᏁᎦ [white person] | ᎠᏂᏲᏁᎦ [white people],white person | white people,,,,variant,cn-app-dictionary.csv,
43cadda4fef6c6c7,3s|3s|habitual,ᏓᏕᏲᎲᏍᎪᎢ [he/she teaches],he/she teaches | S/he teaches it (habitually),ᏕᎨᏲᎲᏍᎪᎢ [S/he teaches it (habitually)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,habitual
43cadda4fef6c6c7,2s|3s|imperative,ᏔᏕᏲᎲᎦ [teach!],teach! | You (singular) teach it right now!,ᏘᏰᏲᎲᎦ [You (singular) teach it right now!],,3s,2s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,imperative
43cadda4fef6c6c7,3s|3s|infinitive,ᏧᏕᏲᏗ [to teach],to teach | For him/her to teach it,ᏧᏪᏲᏗ [For him/her to teach it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,infinitive
43cadda4fef6c6c7,1d-in|3p|present,,We (you and I) teach them | We (you and I) teach those things,ᏕᏁᏲᎲᏍᎦ [We (you and I) teach them] | ᏕᎾᏕᏲᎲᏍᎦ [We (you and I) teach those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
43cadda4fef6c6c7,2p|3p|present,,You (more than two) teach them | You (more than two) teach those things,ᏕᏤᏲᎲᏍᎦ [You (more than two) teach them] | ᏕᏣᏕᏲᎲᏍᎦ [You (more than two) teach those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
43cadda4fef6c6c7,2s|3p|present,,You are (singular) teaching them | You are (singular) teaching those (things),ᏕᎦᎯᏰᏲᎲᏍᎦ [You are (singular) teaching them] | ᏕᎮᏲᎲᏍᎦ [You are (singular) teaching those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
27363a36c4b1042a,1d-ex|3p|present,,"We (another and I) are talking to, or with, them | We (another and I) are talking to, or with, those (things)","ᏕᏍᏓᎵᏃᎮᏗᎭ [We (another and I) are talking to, or with, them] | ᏙᏍᏓᎵᏃᎮᏗᎭ [We (another and I) are talking to, or with, those (things)]",,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
27363a36c4b1042a,1p-ex|3p|present,,"We (others and I) are talking to, or with, them | We (others and I) are talking to, or with, those (things)","ᏙᏣᎵᏃᎮᏗᎭ [We (others and I) are talking to, or with, them] | ᏕᏍᏓᎵᏃᎮᏗᎭ [We (others and I) are talking to, or with, those (things)]",,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
27363a36c4b1042a,1p-in|3p|present,,"We (you and I and another or others) are talking to, or with, them | We (you and I and another or others) are talking to, or with, those (things)","ᎦᏓᎵᏃᎯᏗ [We (you and I and another or others) are talking to, or with, them] | ᏕᏓᎵᏃᎮᏗᎭ [We (you and I and another or others) are talking to, or with, those (things)]",,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
27363a36c4b1042a,1s|3p|present,,"I am talking to, or with, them | I am talking to, or with, those things","ᎦᏥᏯᎵᏃᎮᏗᎭ [I am talking to, or with, them] | ᏕᎦᎵᏃᎮᏗᎭ [I am talking to, or with, those things]",,3p,1s,learning-to-use-the-cherokee-verb.csv,present
